原点(経度),原点(緯度),メッシュあたり賦存量MJ/y
135.392273,34.74882624,2830316.528
135.3950039,34.7488398,2991898.032
135.3977349,34.74885329,2858830.911
135.4004658,34.74886673,2534611.816
135.4031967,34.74888009,2361413.342
135.4059276,34.74889339,2194551.398
135.4086585,34.74890662,2051979.483
135.4113895,34.7489198,1952707.187
135.4141204,34.74893291,1851322.714
135.4168513,34.74894596,1831257.037
135.4195823,34.74895895,1813303.537
135.4223132,34.74897188,1742545.624
135.4250442,34.74898476,1717199.506
135.4277752,34.74899759,1717199.506
135.4305063,34.74901036,1733040.829
135.4332373,34.74902308,1765779.565
135.4359684,34.74903573,1802742.654
135.4386994,34.74904832,1822808.331
135.4414305,34.74906085,1814359.625
135.4441616,34.74907331,1814359.625
135.4468927,34.74908572,1831257.037
135.4496237,34.74909806,1830200.949
135.4523548,34.74911032,1793237.86
135.4550858,34.74912251,1702414.27
135.4578169,34.74913464,1541888.855
135.4605479,34.74914671,1340175.998
135.463279,34.74915872,1219781.937
135.46601,34.74917067,1218725.848
135.468741,34.74918256,1218725.848
135.4714721,34.74919438,1190211.465
135.4742031,34.74920615,1153248.376
135.4769342,34.74921786,1105724.405
135.4796652,34.74922951,1003283.844
135.4823962,34.7492411,951535.5194
135.4851273,34.74925262,852263.2233
135.4878583,34.74926409,700186.5143
135.4905894,34.74927551,416098.7732
135.4933204,34.74928686,254517.2699
135.4960514,34.74929816,242900.2991
135.4987824,34.74930939,306265.5945
135.5015135,34.74932057,463622.7448
135.5042445,34.74933169,287256.0059
135.5069755,34.74934274,54916.58936
135.5097066,34.74935374,0
135.5124376,34.74936468,0
135.5151686,34.74937557,0
135.5178997,34.7493864,71814.00146
135.5206307,34.74939717,206993.2983
135.5233617,34.74940787,278807.2998
135.5260927,34.74941852,228115.0635
135.5288237,34.7494291,475239.7156
135.5315548,34.74943962,1052719.276
135.5342858,34.74945008,890196.3663
135.5370168,34.74946047,623556.7126
135.5397478,34.74947081,317916.5779
135.5424789,34.74948109,681160.4031
135.5452099,34.74949131,1613308.714
135.5479409,34.74950147,1726458.384
135.550672,34.74951157,1852175.145
135.553403,34.74952163,1940092.94
135.5561341,34.74953163,2075536.63
135.5588652,34.74954157,2175447.529
135.5615963,34.74955144,2511377.875
135.5643273,34.74956124,2658174.142
135.5670584,34.74957096,2713090.732
135.5697895,34.74958063,2975000.62
135.5725206,34.74959023,2929588.824
135.5752517,34.74959976,2894737.912
135.5779829,34.74960923,2820811.734
135.580714,34.74961862,2672959.378
135.5834451,34.74962796,2783848.645
135.5861762,34.74963724,2819755.646
135.5889072,34.74964645,2691968.967
135.5916383,34.7496556,1893566.245
135.5943694,34.74966469,1689741.211
135.5971004,34.74967372,1585188.474
135.5998315,34.74968269,1529215.796
135.3922896,34.74657265,2979224.973
135.3950204,34.74658622,3258032.272
135.3977513,34.74659972,3101731.21
135.4004822,34.74661315,2732100.32
135.403213,34.74662652,2477583.051
135.4059439,34.74663981,2262141.046
135.4086747,34.74665305,2073101.248
135.4114056,34.74666623,1921024.539
135.4141364,34.74667934,1831257.037
135.4168673,34.74669239,1867164.038
135.4195982,34.74670538,1834425.302
135.4223291,34.74671831,1815415.714
135.42506,34.74673119,1823864.42
135.4277909,34.74674402,1823864.42
135.4305219,34.74675678,1815415.714
135.4332528,34.74676949,1823864.42
135.4359838,34.74678214,1821752.243
135.4387148,34.74679472,1793237.86
135.4414458,34.74680725,1830200.949
135.4441767,34.74681971,1831257.037
135.4469077,34.74683211,1831257.037
135.4496387,34.74684444,1813303.537
135.4523697,34.7468567,1793237.86
135.4551007,34.74686889,1770003.918
135.4578316,34.74688102,1665451.181
135.4605626,34.74689309,1491196.619
135.4632936,34.7469051,1340175.998
135.4660245,34.74691705,1197604.083
135.4687555,34.74692894,1228230.643
135.4714865,34.74694076,1207108.878
135.4742174,34.74695253,1170145.789
135.4769484,34.74696424,1118397.464
135.4796794,34.74697589,1081434.375
135.4824103,34.74698748,1013844.727
135.4851413,34.74699901,932525.9308
135.4878723,34.74701048,700186.5143
135.4906032,34.74702189,416098.7732
135.4933342,34.74703325,2551216.947
135.4960651,34.74704454,609607.7685
135.4987961,34.74705577,482573.4907
135.501527,34.74706695,595145.3239
135.504258,34.74707807,424877.475
135.506989,34.74708913,186131.0299
135.5097199,34.74710013,116799.5659
135.5124509,34.74711107,103185.1
135.5151818,34.74712196,75155.75953
135.5179128,34.74713279,132554.8864
135.5206437,34.74714356,255228.2648
135.5233747,34.74715427,321559.6536
135.5261056,34.74716492,305611.925
135.5288366,34.7471755,501852.37
135.5315675,34.74718602,812713.116
135.5342985,34.74719648,577375.5484
135.5370294,34.74720688,85760.88617
135.5397604,34.74721722,200316.6032
135.5424913,34.7472275,651714.3766
135.5452223,34.74723772,1509815.476
135.5479533,34.74724787,1609879.466
135.5506842,34.74725798,1687667.913
135.5534152,34.74726803,1757184.558
135.5561462,34.74727803,1938910.951
135.5588772,34.74728796,2566051.958
135.5616082,34.74729783,2916594.046
135.5643392,34.74730763,3046814.621
135.5670703,34.74731734,2744773.38
135.5698013,34.747327,2708866.379
135.5725323,34.74733659,2861999.176
135.5752633,34.74734612,2923252.295
135.5779944,34.74735558,2987673.679
135.5807254,34.74736498,2457517.374
135.5834564,34.74737431,2603257.553
135.5861875,34.74738359,2638108.466
135.5889185,34.7473928,1929473.245
135.5916495,34.74740194,1104668.317
135.5943805,34.74741103,1029686.05
135.5971115,34.74742005,1089883.081
135.5998425,34.74742901,1091995.258
135.3923061,34.74431907,3172489.124
135.395037,34.74433264,3413277.246
135.3977678,34.74434614,3273873.596
135.4004986,34.74435958,2975000.62
135.4032293,34.74437294,2644444.995
135.4059601,34.74438624,2382535.107
135.4086909,34.74439948,2148083.514
135.4114217,34.74441266,1954819.363
135.4141525,34.74442577,1832313.126
135.4168833,34.74443882,1832313.126
135.4196141,34.74445182,1831257.037
135.4223449,34.74446475,1831257.037
135.4250757,34.74447762,1786901.331
