右上経度,右上緯度,左下経度,左下緯度,メッシュあたり賦存量MJ/y
135.3937,34.75,135.3909,34.7477,2830316.528
135.3964,34.75,135.3936,34.7477,2991898.032
135.3991,34.75,135.3963,34.7477,2858830.911
135.4019,34.75,135.3991,34.7477,2534611.816
135.4046,34.75,135.4018,34.7478,2361413.342
135.4073,34.75,135.4045,34.7478,2194551.398
135.41,34.75,135.4073,34.7478,2051979.483
135.4128,34.75,135.41,34.7478,1952707.187
135.4155,34.7501,135.4127,34.7478,1851322.714
135.4182,34.7501,135.4155,34.7478,1831257.037
135.421,34.7501,135.4182,34.7478,1813303.537
135.4237,34.7501,135.4209,34.7478,1742545.624
135.4264,34.7501,135.4237,34.7479,1717199.506
135.4292,34.7501,135.4264,34.7479,1717199.506
135.4319,34.7501,135.4291,34.7479,1733040.829
135.4346,34.7501,135.4319,34.7479,1765779.565
135.4374,34.7502,135.4346,34.7479,1802742.654
135.4401,34.7502,135.4373,34.7479,1822808.331
135.4428,34.7502,135.44,34.7479,1814359.625
135.4455,34.7502,135.4428,34.7479,1814359.625
135.4483,34.7502,135.4455,34.748,1831257.037
135.451,34.7502,135.4482,34.748,1830200.949
135.4537,34.7502,135.451,34.748,1793237.86
135.4565,34.7502,135.4537,34.748,1702414.27
135.4592,34.7503,135.4564,34.748,1541888.855
135.4619,34.7503,135.4592,34.748,1340175.998
135.4647,34.7503,135.4619,34.748,1219781.937
135.4674,34.7503,135.4646,34.748,1218725.848
135.4701,34.7503,135.4674,34.7481,1218725.848
135.4729,34.7503,135.4701,34.7481,1190211.465
135.4756,34.7503,135.4728,34.7481,1153248.376
135.4783,34.7503,135.4755,34.7481,1105724.405
135.4811,34.7504,135.4783,34.7481,1003283.844
135.4838,34.7504,135.481,34.7481,951535.5194
135.4865,34.7504,135.4837,34.7481,852263.2233
135.4892,34.7504,135.4865,34.7481,700186.5143
135.492,34.7504,135.4892,34.7481,416098.7732
135.4947,34.7504,135.4919,34.7482,254517.2699
135.4974,34.7504,135.4947,34.7482,242900.2991
135.5002,34.7504,135.4974,34.7482,306265.5945
135.5029,34.7504,135.5001,34.7482,463622.7448
135.5056,34.7505,135.5029,34.7482,287256.0059
135.5084,34.7505,135.5056,34.7482,54916.58936
135.5193,34.7505,135.5165,34.7483,71814.00146
135.522,34.7505,135.5192,34.7483,206993.2983
135.5247,34.7505,135.522,34.7483,278807.2998
135.5275,34.7505,135.5247,34.7483,228115.0635
135.5302,34.7506,135.5274,34.7483,475239.7156
135.5329,34.7506,135.5302,34.7483,1052719.276
135.5357,34.7506,135.5329,34.7483,890196.3663
135.5384,34.7506,135.5356,34.7483,623556.7126
135.5411,34.7506,135.5384,34.7483,317916.5779
135.5439,34.7506,135.5411,34.7484,681160.4031
135.5466,34.7506,135.5438,34.7484,1613308.714
135.5493,34.7506,135.5466,34.7484,1726458.384
135.5521,34.7506,135.5493,34.7484,1852175.145
