原点(経度),原点(緯度),メッシュあたり導入P_MJ/y
135.5315548,34.74943962,33.68701684
135.5342858,34.74945008,567646.1757
135.5370168,34.74946047,403805.3502
135.5397478,34.74947081,233640.7081
135.5424789,34.74948109,494675.0326
135.5452099,34.74949131,1102806.211
135.5479409,34.74950147,1020323.093
135.550672,34.74951157,1131071.5
135.553403,34.74952163,1352167.175
135.5561341,34.74953163,1261461.351
135.5588652,34.74954157,158581.4231
135.4906032,34.74702189,37974.83844
135.4933342,34.74703325,1240503.729
135.4960651,34.74704454,235025.7406
135.4987961,34.74705577,74787.3093
135.501527,34.74706695,209215.0066
135.5206437,34.74714356,3781.461971
135.5315675,34.74718602,182047.738
135.5342985,34.74719648,353501.6437
135.5370294,34.74720688,55021.44022
135.5397604,34.74721722,126068.0523
135.5424913,34.7472275,404813.6884
135.5452223,34.74723772,937849.0594
135.5479533,34.74724787,1047065.605
135.5506842,34.74725798,1113644.801
135.5534152,34.74726803,1232953.145
135.5561462,34.74727803,613130.1766
135.4878862,34.74475686,2228710.589
135.4906171,34.74476827,4072900.824
135.493348,34.74477963,2008177.071
135.4960788,34.74479092,888028.3339
135.4988097,34.74480216,670587.4176
135.5015406,34.74481333,149393.9162
135.515195,34.74486835,-6751.041731
135.5179259,34.74487918,148473.8702
135.5206568,34.74488996,488716.169
135.5233877,34.74490067,416090.5497
135.5261185,34.74491132,208973.2581
135.5288494,34.74492191,180381.1472
135.5315803,34.74493243,321035.609
135.5343112,34.74494289,421443.9145
135.537042,34.74495329,399000.2281
135.5397729,34.74496362,385752.4159
135.5425038,34.7449739,828442.434
135.5452347,34.74498412,1155831.685
135.5479656,34.74499428,1321220.006
135.5506965,34.74500438,1385342.972
135.5534274,34.74501443,1493747.332
135.5561583,34.74502443,479753.7782
135.4879001,34.74250324,4193533.471
135.4906309,34.74251466,8051539.281
135.4933617,34.74252601,4792905.216
135.4960925,34.74253731,1837506.23
135.4988234,34.74254854,968406.1536
135.5015542,34.74255972,645155.7072
135.504285,34.74257084,204126.4758
135.5070158,34.7425819,26135.19548
135.5124775,34.74260384,36098.13325
135.5152083,34.74261474,163298.3754
135.517939,34.74262558,377423.8212
135.5206698,34.74263636,497727.5958
135.5234006,34.74264708,504929.3592
135.5261314,34.74265773,442078.4355
135.5288622,34.74266831,503422.6716
135.531593,34.74267883,889933.6694
135.5343239,34.74268929,608181.6368
135.5370547,34.74269969,721237.4391
135.5397855,34.74271003,736459.0108
135.5425163,34.74272031,864347.7652
135.5452471,34.74273052,921781.5782
135.5479779,34.74274068,1191155.814
135.5507088,34.74275078,1178963.297
135.5534396,34.74276083,1241066.978
135.5561705,34.74277082,446925.4557
135.4879141,34.74024962,7750468.021
135.4906448,34.74026104,9787297.982
135.4933755,34.7402724,6845017.94
135.4961063,34.74028369,3097695.727
135.498837,34.74029492,1270864.775
135.5015677,34.7403061,715562.811
135.5042985,34.74031723,901560.5479
135.5070292,34.74032829,674480.419
135.50976,34.74033929,312164.7504
135.5124907,34.74035024,636212.1432
135.5152214,34.74036114,434053.2838
135.5179522,34.74037198,475569.2837
135.5206829,34.74038276,474224.4259
135.5234136,34.74039348,789005.2542
135.5261443,34.74040413,666479.0656
135.5288751,34.74041472,756195.9143
135.5316058,34.74042524,964917.638
135.5343365,34.74043569,1101541.223
135.5370673,34.74044609,1079621.219
135.539798,34.74045643,945653.9124
135.5425288,34.7404667,1039842.47
135.5452595,34.74047692,1161316.777
135.5479903,34.74048707,963136.4822
135.550721,34.74049717,1270623.006
135.5534518,34.74050722,1054199.914
135.5561826,34.7405172,302902.7995
135.5616441,34.74053699,6476.413329
135.4851973,34.73798453,2064158.591
135.487928,34.737996,10300980.52
135.4906586,34.73800742,9704481.908
135.4933893,34.73801878,7212442.463
135.49612,34.73803007,2605744.664
135.4988506,34.73804131,1112225.43
135.5015813,34.73805249,701869.2867
135.504312,34.73806362,674963.6782
135.5070426,34.73807469,469412.6791
135.5097733,34.7380857,722881.0707
135.512504,34.73809665,743851.1867
135.5152346,34.73810755,517274.5071
135.5179653,34.73811839,758821.3075
135.5206959,34.73812917,693812.3948
135.5234266,34.73813989,813667.6131
135.5261573,34.73815055,741017.9288
135.5288879,34.73816112,798684.0096
135.5316186,34.73817164,990613.3651
135.5343492,34.7381821,989169.96
135.5370799,34.73819249,1028708.002
135.5398106,34.73820283,1075637.699
135.5425413,34.7382131,1062644.257
135.5452719,34.73822331,851142.4961
135.5480026,34.73823346,1109972.013
135.5507333,34.73824355,1168638.469
135.553464,34.73825359,874779.3711
135.5561947,34.73826357,24917.18413
135.5616561,34.73828334,441889.2259
135.5643868,34.73829311,65592.75348
135.4852113,34.73573091,3195448.325
135.4879419,34.73574238,11961328.42
135.4906725,34.7357538,12077087.19
135.4934031,34.73576516,10034043.13
135.4961337,34.73577646,6154289.903
135.4988642,34.7357877,2814273.349
135.5015948,34.73579888,862121.0502
135.5043254,34.73581002,706268.9075
135.507056,34.73582109,506774.8804
135.5097866,34.7358321,696283.8804
135.5125172,34.73584306,953793.5204
135.5152478,34.73585396,976489.121
135.5179784,34.7358648,1014683.983
135.520709,34.73587559,885323.5423
135.5234396,34.73588631,804537.238
135.5261702,34.73589696,1064754.426
135.5289007,34.73590753,732508.6816
135.5316313,34.73591805,897227.6201
135.5343619,34.7359285,996971.6081
135.5370925,34.7359389,945044.9681
135.5398231,34.73594922,1371048.904
135.5425538,34.73595949,1243985.531
135.5452844,34.7359697,1170607.658
135.548015,34.73597984,1262253.296
135.5507456,34.73598993,841371.3448
135.5534762,34.73599996,72039.65738
135.5589375,34.73601984,24939.57797
135.5616681,34.73602969,839103.4656
135.5643987,34.73603946,212872.0869
135.4797643,34.73345417,1247000.338
135.4824948,34.73346576,5707689.534
135.4852253,34.73347729,7122723.642
135.4879558,34.73348876,11612496.61
135.4906863,34.73350018,11775347.6
135.4934168,34.73351154,12462154.26
135.4961473,34.73352284,9032671.547
135.4988779,34.73353408,5047822.559
135.5016084,34.73354527,1401132.631
135.5043389,34.73355641,536608.0811
135.5070694,34.73356749,568456.1501
135.5097999,34.73357851,694870.9348
135.5125305,34.73358947,978713.1492
135.515261,34.73360037,859016.1587
135.5179915,34.73361122,789923.7329
135.520722,34.733622,987304.5752
135.5234525,34.73363272,1167576.334
135.5261831,34.73364337,668333.9611
135.5289136,34.73365394,1170316.751
135.5316441,34.73366445,1141997.916
135.5343746,34.73367491,932387.9218
135.5371052,34.73368529,569479.1253
135.5398357,34.73369562,527780.4569
135.5425662,34.73370588,676742.0449
135.5452968,34.73371608,540970.7729
135.5480273,34.73372622,253510.9046
135.5507579,34.73373631,11913.33082
135.556219,34.73375629,72.28306924
135.5589495,34.7337662,502454.5171
135.5616801,34.73377604,766701.6157
135.5644106,34.73378581,40999.67823
135.4524742,34.7310814,11602.84459
135.4552046,34.73109358,2184251.294
135.457935,34.73110569,2496094.742
135.4606655,34.73111775,224639.0727
135.477048,34.7311889,6907905.06
135.4797785,34.73120055,12870961.07
135.4825089,34.73121214,11685725.7
135.4852393,34.73122367,10494529.65
135.4879697,34.73123514,13069324.24
135.4907002,34.73124656,11135847.27
135.4934306,34.73125792,10764069.26
135.496161,34.73126922,9516538.658
135.4988915,34.73128046,4966548.228
135.5016219,34.73129165,1206035.321
135.5043524,34.7313028,604278.7304
135.5070828,34.73131389,556744.7596
135.5098133,34.73132491,926222.135
135.5125437,34.73133587,1274115.261
135.5152742,34.73134678,1056423.2
135.5180046,34.73135763,1178350.747
135.5207351,34.73136841,1374485.178
135.5234655,34.73137914,1382945.057
135.526196,34.73138979,519618.9594
135.5289264,34.73140035,239065.5031
135.5316569,34.73141086,1925.379019
135.5535006,34.73149269,36471.28916
135.5562311,34.73150265,440601.5839
135.5589616,34.73151255,239224.8825
135.561692,34.73152238,4351.265305
135.4497587,34.72881555,196164.2538
135.4524891,34.72882779,14851367.9
135.4552194,34.72883997,15029197.77
135.4579498,34.72885209,17027730.15
135.4606801,34.72886415,13655427.29
135.4634105,34.72887615,9039181.563
135.4661408,34.7288881,1252942.198
135.4743319,34.72892358,2625363.388
135.4770623,34.72893528,15002666.01
135.4797926,34.72894693,14375653.55
135.482523,34.72895852,14979303.88
135.4852533,34.72897005,11766362.5
135.4879837,34.72898152,10613117.43
135.490714,34.72899294,12154090.07
135.4934444,34.7290043,12093153.58
