右上経度,右上緯度,左下経度,左下緯度,メッシュあたり導入P_MJ/y
135.5329,34.7506,135.5302,34.7483,33.68701684
135.5357,34.7506,135.5329,34.7483,567646.1757
135.5384,34.7506,135.5356,34.7483,403805.3502
135.5411,34.7506,135.5384,34.7483,233640.7081
135.5439,34.7506,135.5411,34.7484,494675.0326
135.5466,34.7506,135.5438,34.7484,1102806.211
135.5493,34.7506,135.5466,34.7484,1020323.093
135.5521,34.7506,135.5493,34.7484,1131071.5
135.5548,34.7506,135.552,34.7484,1352167.175
135.5575,34.7507,135.5547,34.7484,1261461.351
135.5603,34.7507,135.5575,34.7484,158581.4231
135.492,34.7481,135.4892,34.7459,37974.83844
135.4947,34.7482,135.4919,34.7459,1240503.729
135.4975,34.7482,135.4947,34.7459,235025.7406
135.5002,34.7482,135.4974,34.7459,74787.3093
135.5029,34.7482,135.5001,34.7459,209215.0066
135.522,34.7483,135.5193,34.746,3781.461971
135.533,34.7483,135.5302,34.7461,182047.738
135.5357,34.7483,135.5329,34.7461,353501.6437
135.5384,34.7483,135.5356,34.7461,55021.44022
135.5411,34.7483,135.5384,34.7461,126068.0523
135.5439,34.7484,135.5411,34.7461,404813.6884
135.5466,34.7484,135.5438,34.7461,937849.0594
135.5493,34.7484,135.5466,34.7461,1047065.605
135.5521,34.7484,135.5493,34.7461,1113644.801
135.5548,34.7484,135.552,34.7461,1232953.145
135.5575,34.7484,135.5548,34.7462,613130.1766
135.4893,34.7459,135.4865,34.7436,2228710.589
135.492,34.7459,135.4892,34.7436,4072900.824
135.4947,34.7459,135.492,34.7437,2008177.071
135.4975,34.7459,135.4947,34.7437,888028.3339
135.5002,34.7459,135.4974,34.7437,670587.4176
135.5029,34.7459,135.5002,34.7437,149393.9162
135.5166,34.746,135.5138,34.7437,-6751.041731
135.5193,34.746,135.5165,34.7438,148473.8702
135.522,34.746,135.5193,34.7438,488716.169
135.5248,34.746,135.522,34.7438,416090.5497
135.5275,34.746,135.5247,34.7438,208973.2581
135.5302,34.746,135.5275,34.7438,180381.1472
135.533,34.7461,135.5302,34.7438,321035.609
