原点(緯度),原点(経度),kW単価(φ800mm)_Dg1,kW単価(φ800mm)_Dg2,kW単価(φ800mm)_Dg3,kW単価(φ800mm)_Dg4,kW単価(φ300mm)_Dg1,kW単価(φ300mm)_Dg2,kW単価(φ300mm)_Dg3,kW単価(φ300mm)_Dg4
34.7652767243388,135.547854688425,,,,,,,,
34.7630129307585,135.545135511095,0,,,,0,,,
34.7630230912395,135.547866975408,0,,,,0,,,
34.7630332084198,135.550598458682,0,,,,0,,,
34.76304328942,135.553329967716,212.879008772671,,,,321.275523788177,,,
34.760759303974,135.545147875505,269.495766424977,,,,406.721141816947,,,
34.760769457349,135.547879260982,253.326020439478,,,,382.31787330793,,,
34.7607795703372,135.550610670324,166.297168778651,,,,250.974533900173,,,
34.7607896508586,135.553342111761,130.021909549775,,,,196.228164229904,,,
34.7585056848959,135.545160249726,242.031229719246,,,,365.271853478914,,,
34.7585158333904,135.547891558685,158.825091184626,,,,239.697726211869,,,
34.7585259434152,135.550622895095,115.235490723038,,,,173.912603475935,,,
34.7562212704514,135.536978940025,0,,,,0,,,
34.7562316032151,135.539710176583,341.563173626262,,,,515.484772999457,,,
34.7562418745072,135.542441411811,189.994515329608,,,,286.738404980948,,,
34.7562520845387,135.545172648354,146.572432269708,,,,221.206098345958,,,
34.7562622333098,135.547903886202,113.599112304699,,,,171.442992514767,,,
34.7562723422293,135.55063515088,98.0616853314108,,,,147.994015474038,,,
34.753957275485,135.534260390951,0,,,,0,,,
34.7539676716479,135.53699155791,0,,,,0,,,
34.7539780068854,135.539722724663,0,,,,0,,,
34.7539882814022,135.542453891916,217.136588948124,,,,327.70103426394,,,
34.7539984946634,135.545185060483,112.091159486495,,,,169.16720057873,,,
34.7540086466693,135.547916230356,95.8358210994242,,,,144.634756610819,,,
34.7540187548298,135.550647423211,90.1516086973231,,,,136.056182671861,,,
34.7540288232344,135.553378643847,87.3538001515441,,,,131.833749416528,,,
34.7540388352413,135.556109871707,84.9137498679814,,,,128.151242449586,,,
34.7517036746475,135.534273080032,0,,,,0,,,
34.7517140721335,135.537004174425,0,,,,0,,,
34.7517244098552,135.539735271407,0,,,,0,,,
34.7517346875963,135.542466370692,229.254317139799,,,,345.989025618037,,,
34.7517449040868,135.545197471292,103.751271169752,,,,156.580698965705,,,
34.7517550593272,135.547928573197,92.1744161696099,,,,139.108989681479,,,
34.7517651666809,135.550659694191,88.1645082736002,,,,133.057264492319,,,
34.7517752289362,135.553390837774,86.7059967277163,,,,130.856088981608,,,
34.7517852335233,135.556121987323,80.4209588696755,,,,121.370753431089,,,
34.7517951769551,135.558853138234,71.2590774794593,,,,107.543705571851,,,
34.7518050560405,135.561584292247,63.9174147450323,,,,96.4637190852642,,,
34.7494500760936,135.534285771454,235.652112036724,0,0,-0,355.644533309703,0,0,-0
34.7494604745565,135.537016793888,286.244090892065,0,0,-0,431.997596958113,0,0,-0
34.7494708138299,135.539747820894,287.870477772134,-0,-0,0,434.452128759012,-0,-0,0
34.749481093291,135.542478851261,162.388474640691,-0,-0,0,245.075559812776,-0,-0,0
34.7494913115247,135.545209882953,96.1389071876577,-0,-0,0,145.09217203337,-0,-0,0
34.7495014685312,135.547940915962,92.1744161696099,-0,-0,0,139.108989681479,-0,-0,0
34.7495115747429,135.550671964213,88.1645082736002,0,0,-0,133.057264492319,0,0,-0
34.7495216323482,135.553403031056,86.7059967277163,0,0,-0,130.856088981608,0,0,-0
34.749531631457,135.556134102963,80.4209588696755,0,0,-0,121.370753431089,0,0,-0
34.7495415693924,135.558865176224,71.2590774794593,-0,-0,0,107.543705571851,-0,-0,0
34.7470332467783,135.493334170799,0,0,0,1955.8348142913,0,0,0,2951.73233860557
34.7470445406544,135.4960651275,0,0,0,0,0,0,0,0
34.7470557737696,135.498796085707,0,0,0,-0,0,0,0,-0
34.7470669503787,135.501527045354,346.231463015232,0,0,-0,522.530122972115,0,0,-0
34.7471964809246,135.534298466243,235.652112036724,-0,-0,0,355.644533309703,-0,-0,0
34.7472068797482,135.53702941733,286.244090892065,-0,-0,5830.54378496605,431.997596958113,-0,-0,8799.41624721314
34.7472172190478,135.539760373774,287.870477772134,-0,-0,0,434.452128759012,-0,-0,0
34.7472274982626,135.542491334005,162.388474640691,-0,-0,0,245.075559812776,-0,-0,0
34.7472377162729,135.545222295574,96.1389071876577,-0,-0,0,145.09217203337,-0,-0,0
34.7472478730788,135.54795325847,91.1791315319057,-0,-0,0,137.606913008253,-0,-0,0
34.7472579780673,135.550684233907,89.0425379400625,-0,-0,0,134.382380776074,-0,-0,0
34.7472680331562,135.553415224748,86.0677306136392,-0,-0,0,129.892822188425,-0,-0,0
34.7472780294105,135.556146219916,78.3482537441684,-0,-0,0,118.242641229257,-0,-0,0
34.7472879644734,135.55887721643,59.7937105679334,-0,-0,0,90.2402533378278,-0,-0,0
34.7447568598329,135.487886192461,187.88085570295,55.1964083198336,1292.3394520233,1398.27898642525,283.548484529986,83.3020366658962,1950.38973901035,2110.27294967115
34.7447682745764,135.490617074764,190.232305711748,92.5105781061016,1840.20130918294,1123.21688080809,287.097276576669,139.61632294485,2777.2190545794,1695.15112734624
34.7447796298464,135.493347956416,281.995570062499,255.582456471078,4614.34525367818,1393.44949320792,425.585758784338,385.723270919119,6963.93785776245,2102.98431199862
34.7447909239063,135.496078839593,233.839403482595,0,0,0,352.908806130397,0,0,0
34.7448021572327,135.498809724411,192.643361550934,0,0,-0,290.736025329225,0,0,-0
34.7448133340615,135.501540611983,215.902858329101,-0,-0,0,325.839096569259,-0,-0,0
34.7448791836326,135.517925917574,0,-0,-0,0,0,-0,-0,0
34.7448899594728,135.520656788422,221.891404764506,-0,-0,0,334.876969320815,-0,-0,0
34.7449006740664,135.523387660722,232.054369868224,-0,-0,0,350.214845778257,-0,-0,0
34.744911322514,135.526118534319,273.865968042679,-0,-0,0,413.316619792357,-0,-0,0
34.7449219050451,135.528849408435,241.646442390599,-0,-0,0,364.691135110903,-0,-0,0
34.7449324261201,135.531580283895,203.202690192095,-0,-0,0,306.672090888714,-0,-0,0
34.7449428859849,135.534311160735,201.58569265741,-0,-0,0,304.231729422756,-0,-0,0
34.7449532850272,135.537042040633,195.870634360421,-0,-0,0,295.606603073142,-0,-0,0
34.7449636239773,135.539772926378,158.493860546076,-0,-0,0,239.197835229154,-0,-0,0
34.7449739024769,135.542503816203,99.6692539434012,-0,-0,0,150.420146875251,-0,-0,0
34.744984119777,135.545234707366,93.9985233541662,-0,-0,0,141.861919594779,-0,-0,0
34.7449942758778,135.547965599856,90.0981696880182,-0,-0,0,135.975532889602,-0,-0,0
34.7450043796369,135.550696502547,87.6560624358055,-0,-0,0,132.289921559838,-0,-0,0
34.7450144327552,135.553427417604,86.0677306136392,-0,-0,0,129.892822188425,-0,-0,0
34.7450244268422,135.55615833629,81.1942373203455,-0,-0,0,122.537779906388,-0,-0,0
34.7450343597428,135.558889256323,64.8168922233206,-0,-0,0,97.8212042578926,-0,-0,0
34.7425032417064,135.487900123898,174.908644722309,49.6221659913579,1220.66363226866,1455.53661212072,263.970913676362,74.8894287994451,1842.21708888679,2196.68576130644
34.7425146567988,135.490630932031,175.312124871611,73.1745983582554,1524.98394135647,1290.42290280697,264.579843119675,110.434596398572,2301.4951889928,1947.49729622376
34.7425260123292,135.49336174006,175.312124871611,102.717276974165,1854.48166521602,1843.61673774555,264.579843119675,155.020202096162,2798.77086887458,2782.37359568114
34.7425373066488,135.496092549622,180.94715745677,249.88173253492,4511.42305471138,0,273.08419521995,377.119777887466,6808.60838881607,0
34.7425485402749,135.498823360964,179.451726403408,377.20643126764,0,-0,270.827301044579,569.277330256613,0,-0
34.7425597175617,135.501554176253,202.660816351582,0,0,-0,305.854298646344,0,0,-0
34.7425708382208,135.504284995286,343.881475709699,-0,-0,0,518.983538427055,-0,-0,0
34.7425818976487,135.507015815803,0,-0,-0,0,0,-0,-0,0
34.7425928958456,135.509746637797,255.884869130786,-0,-0,0,386.179670008011,-0,-0,0
34.7426038399418,135.512477452681,232.409193063741,0,0,-0,350.75034248434,0,0,-0
34.7426147360166,135.51520825318,0,-0,-0,0,0,-0,-0,0
34.7426255770068,135.517939047774,0,-0,-0,0,0,-0,-0,0
34.7426363567743,135.5206698438,222.215807403051,0,0,-0,335.366555533272,0,0,-0
34.7426470753192,135.523400641248,213.777232438378,0,0,-0,322.631116715553,0,0,-0
34.7426577259666,135.526131441671,232.765103007177,0,0,-0,351.287479302846,0,0,-0
34.7426683088372,135.5288622444,212.284374669954,-0,-0,0,320.378106123964,-0,-0,0
34.7426788301994,135.531593048556,134.034931449459,-0,-0,0,202.284589051815,-0,-0,0
34.7426892903696,135.534323854082,153.841712817497,-0,-0,0,232.176846138419,-0,-0,0
34.7426996895255,135.537054662848,148.869355792054,-0,-0,0,224.672599397413,-0,-0,0
34.7427100280259,135.5397854779,122.577106664264,-0,-0,0,184.992519342547,-0,-0,0
34.7427203057153,135.542516297292,94.9972576648042,-0,-0,0,143.369202490474,-0,-0,0
34.742730522226,135.545247118023,92.9068534619112,-0,-0,0,140.214378963789,-0,-0,0
34.7427406775578,135.547977940084,89.8319221416588,-0,-0,0,135.573713938982,-0,-0,0
34.7427507800024,135.550708770029,87.6560624358055,0,0,-0,132.289921559838,0,0,-0
34.7427608310709,135.553439609336,86.7059967277163,0,0,-0,130.856088981608,0,0,-0
34.7427708229401,135.556170451596,81.8060345875601,0,0,-0,123.461100099439,0,0,-0
34.7427807536521,135.558901295185,75.0595616116971,0,0,-0,113.279369869016,0,0,-0
34.7402496227928,135.487914052313,167.028145344711,25.3481211165878,1201.11944136068,1582.90527661882,252.07771866457,38.2552086076012,1812.72113150151,2388.9096665038
34.7402610386826,135.490644785574,172.72228666328,52.0891135312202,1244.13212585307,1581.43274394908,260.671277255407,78.6125289190703,1877.63557665747,2386.6873304102
34.7402723950499,135.493375519165,167.028145344711,58.8394485748367,1285.72821137984,2055.61993921336,252.07771866457,88.8000877553645,1940.4121004782,3102.32735715827
34.7402836902057,135.496106254297,167.028145344711,90.3956240611799,1632.02367094858,-0,252.07771866457,136.424448966821,2463.03880660506,-0
34.7402949248462,135.498836991249,165.033238071321,240.752815372111,4346.60745600774,-0,249.067018441649,363.342479411635,6559.86983019887,-0
34.7403061044731,135.501567732436,165.033238071321,428.141312432442,0,-0,249.067018441649,646.147899692537,0,-0
34.7403172283663,135.504298478208,165.033238071321,0,0,-0,249.067018441649,0,0,-0
34.7403282910067,135.507029225486,164.142129874392,0,0,-0,247.722164130409,0,0,-0
34.740339292395,135.509759974261,180.517354232407,0,0,-0,272.435539174297,0,0,-0
34.7403502390518,135.51249071672,205.956114178437,0,0,-0,310.82753927474,0,0,-0
34.7403611370932,135.515221445483,258.057066661607,0,0,-0,389.457935457994,0,0,-0
34.7403719800088,135.517952168337,241.262876609027,0,0,-0,364.112260293267,0,0,-0
34.7403827617258,135.520682892593,217.447227845045,0,0,-0,328.169848332988,0,0,-0
34.7403934822444,135.523413618242,178.189463380641,0,0,-0,268.922302444031,0,0,-0
34.7404041335861,135.526144347523,191.189449388285,0,0,-0,288.541791175797,0,0,-0
34.7404147153777,135.528875079999,167.211894679523,0,0,-0,252.355031886423,0,0,-0
34.7404252356293,135.531605813932,117.643662742792,0,0,-0,177.546999988203,0,0,-0
34.7404356947071,135.534336549225,106.588788403707,0,0,-0,160.863060297867,0,0,-0
34.7404460925709,135.537067287713,103.822139524376,0,0,-0,156.687652995053,0,0,-0
34.740456429091,135.539798032286,99.8001393720859,-0,-0,0,150.617678256571,-0,-0,0
34.7404667042478,135.542528781012,94.3486109644238,-0,-0,0,142.390269388428,-0,-0,0
34.7404769182464,135.54525953108,94.1732417990624,-0,-0,0,142.125603460197,-0,-0,0
34.7404870710867,135.547990282479,89.6729275891957,-0,-0,0,135.333760462984,-0,-0,0
34.7404971698377,135.55072104047,88.215677460062,0,0,-0,133.134488673684,0,0,-0
34.7405072161066,135.553451805807,87.8587354125357,0,0,-0,132.595794210843,0,0,-0
34.7405172029633,135.556182573629,86.9540115924981,0,0,-0,131.230391295628,0,0,-0
34.7405271286922,135.558913342762,82.4271216180514,0,0,-0,124.398440338806,0,0,-0
34.7379960029949,135.487927978007,168.322937169088,25.4169161343238,1218.62240210999,1605.6880942366,254.031809506931,38.3590335712958,1839.13647848663,2423.29333686061
34.7380074200098,135.490658635885,163.436142219018,52.0891135312202,1454.6906452043,1581.43274394908,246.656692456729,78.6125289190703,2195.4090339027,2386.6873304102
34.7380187777041,135.493389294337,163.436142219018,58.8394485748367,1571.93351987486,2055.61993921336,246.656692456729,88.8000877553645,2372.35116731163,3102.32735715827
34.738030074192,135.496119954331,158.493860546076,90.3956240611799,2119.54243836833,-0,239.197835229154,136.424448966821,3198.79874959976,-0
34.7380413104503,135.498850616153,156.213373343974,240.752815372111,4517.37559327367,-0,235.756139758231,363.342479411635,6817.59191873522,-0
34.7380524938333,135.50158128222,156.213373343974,428.141312432442,0,-0,235.756139758231,646.147899692537,0,-0
34.7380636233402,135.504311952853,155.733209286564,0,0,-0,235.03147949258,0,0,-0
34.7380746915995,135.507042624991,150.341851892865,0,0,-0,226.894880301442,0,0,-0
