右上経度,右上緯度,左下経度,左下緯度,kW単価(φ800mm)_Dg3
34.7462,135.4893,34.7434,135.4865,1292.339452
34.7462,135.492,34.7434,135.4892,1840.201309
34.7462,135.4947,34.7434,135.492,4614.345254
34.7439,135.4893,34.7411,135.4865,1220.663632
34.7439,135.492,34.7411,135.4893,1524.983941
34.7439,135.4947,34.7411,135.492,1854.481665
34.7439,135.4975,34.7411,135.4947,4511.423055
34.7416,135.4893,34.7389,135.4865,1201.119441
34.7417,135.492,34.7389,135.4893,1244.132126
34.7417,135.4948,34.7389,135.492,1285.728211
34.7417,135.4975,34.7389,135.4947,1632.023671
34.7417,135.5002,34.7389,135.4975,4346.607456
34.7394,135.4893,34.7366,135.4866,1218.622402
34.7394,135.492,34.7366,135.4893,1454.690645
34.7394,135.4948,34.7366,135.492,1571.93352
34.7394,135.4975,34.7366,135.4947,2119.542438
34.7394,135.5002,34.7366,135.4975,4517.375593
34.7371,135.4866,34.7343,135.4838,1214.716516
34.7371,135.4893,34.7343,135.4866,1257.429491
34.7372,135.492,34.7344,135.4893,1321.787018
34.7372,135.4948,34.7344,135.492,1396.283715
34.7372,135.4975,34.7344,135.4948,1746.441973
34.7372,135.5002,34.7344,135.4975,2969.041919
34.7349,135.4811,34.7321,135.4784,1178.821338
34.7349,135.4839,34.7321,135.4811,1158.04035
34.7349,135.4866,34.7321,135.4839,1229.8037
34.7349,135.4893,34.7321,135.4866,1266.46058
34.7349,135.4921,34.7321,135.4893,1349.639588
34.7349,135.4948,34.7321,135.492,1378.779028
34.7349,135.4975,34.7321,135.4948,1746.524526
34.7349,135.5003,34.7321,135.4975,2828.582175
34.7325,135.4566,34.7297,135.4538,1103.65797
34.7325,135.4593,34.7297,135.4566,1107.218918
34.7326,135.4784,34.7298,135.4757,1143.600791
34.7326,135.4812,34.7298,135.4784,1147.786616
34.7326,135.4839,34.7298,135.4811,1207.269962
34.7326,135.4866,34.7298,135.4839,1240.666471
34.7326,135.4893,34.7298,135.4866,1285.347209
34.7326,135.4921,34.7298,135.4893,1343.351521
34.7327,135.4948,34.7299,135.4921,1365.130424
34.7327,135.4975,34.7299,135.4948,1662.150909
34.7327,135.5003,34.7299,135.4975,2736.198589
34.7329,135.5521,34.7301,135.5494,6141.562762
34.7329,135.5549,34.7301,135.5521,5258.114392
