原点(緯度),原点(経度),kW単価(φ300mm)_Dg1,kW単価(φ300mm)_Dg2,kW単価(φ300mm)_Dg3,kW単価(φ300mm)_Dg4
34.76527672,135.5478547,,,,
34.76301293,135.5451355,0,,,
34.76302309,135.547867,0,,,
34.76303321,135.5505985,0,,,
34.76304329,135.55333,321.2755238,,,
34.7607593,135.5451479,406.7211418,,,
34.76076946,135.5478793,382.3178733,,,
34.76077957,135.5506107,250.9745339,,,
34.76078965,135.5533421,196.2281642,,,
34.75850568,135.5451602,365.2718535,,,
34.75851583,135.5478916,239.6977262,,,
34.75852594,135.5506229,173.9126035,,,
34.75622127,135.5369789,0,,,
34.7562316,135.5397102,515.484773,,,
34.75624187,135.5424414,286.738405,,,
34.75625208,135.5451726,221.2060983,,,
34.75626223,135.5479039,171.4429925,,,
34.75627234,135.5506352,147.9940155,,,
34.75395728,135.5342604,0,,,
34.75396767,135.5369916,0,,,
34.75397801,135.5397227,0,,,
34.75398828,135.5424539,327.7010343,,,
34.75399849,135.5451851,169.1672006,,,
34.75400865,135.5479162,144.6347566,,,
34.75401875,135.5506474,136.0561827,,,
34.75402882,135.5533786,131.8337494,,,
34.75403884,135.5561099,128.1512424,,,
34.75170367,135.5342731,0,,,
34.75171407,135.5370042,0,,,
34.75172441,135.5397353,0,,,
34.75173469,135.5424664,345.9890256,,,
34.7517449,135.5451975,156.580699,,,
34.75175506,135.5479286,139.1089897,,,
34.75176517,135.5506597,133.0572645,,,
34.75177523,135.5533908,130.856089,,,
34.75178523,135.556122,121.3707534,,,
34.75179518,135.5588531,107.5437056,,,
34.75180506,135.5615843,96.46371909,,,
34.74945008,135.5342858,355.6445333,0,0,0
34.74946047,135.5370168,431.997597,0,0,0
34.74947081,135.5397478,434.4521288,0,0,0
34.74948109,135.5424789,245.0755598,0,0,0
34.74949131,135.5452099,145.092172,0,0,0
34.74950147,135.5479409,139.1089897,0,0,0
34.74951157,135.550672,133.0572645,0,0,0
34.74952163,135.553403,130.856089,0,0,0
34.74953163,135.5561341,121.3707534,0,0,0
34.74954157,135.5588652,107.5437056,0,0,0
34.74703325,135.4933342,0,0,0,2951.732339
34.74704454,135.4960651,0,0,0,0
34.74705577,135.4987961,0,0,0,0
34.74706695,135.501527,522.530123,0,0,0
34.74719648,135.5342985,355.6445333,0,0,0
34.74720688,135.5370294,431.997597,0,0,8799.416247
34.74721722,135.5397604,434.4521288,0,0,0
34.7472275,135.5424913,245.0755598,0,0,0
34.74723772,135.5452223,145.092172,0,0,0
34.74724787,135.5479533,137.606913,0,0,0
34.74725798,135.5506842,134.3823808,0,0,0
34.74726803,135.5534152,129.8928222,0,0,0
34.74727803,135.5561462,118.2426412,0,0,0
34.74728796,135.5588772,90.24025334,0,0,0
34.74475686,135.4878862,283.5484845,83.30203667,1950.389739,2110.27295
34.74476827,135.4906171,287.0972766,139.6163229,2777.219055,1695.151127
34.74477963,135.493348,425.5857588,385.7232709,6963.937858,2102.984312
34.74479092,135.4960788,352.9088061,0,0,0
34.74480216,135.4988097,290.7360253,0,0,0
34.74481333,135.5015406,325.8390966,0,0,0
34.74487918,135.5179259,0,0,0,0
34.74488996,135.5206568,334.8769693,0,0,0
34.74490067,135.5233877,350.2148458,0,0,0
34.74491132,135.5261185,413.3166198,0,0,0
34.74492191,135.5288494,364.6911351,0,0,0
34.74493243,135.5315803,306.6720909,0,0,0
34.74494289,135.5343112,304.2317294,0,0,0
34.74495329,135.537042,295.6066031,0,0,0
34.74496362,135.5397729,239.1978352,0,0,0
34.7449739,135.5425038,150.4201469,0,0,0
34.74498412,135.5452347,141.8619196,0,0,0
34.74499428,135.5479656,135.9755329,0,0,0
34.74500438,135.5506965,132.2899216,0,0,0
34.74501443,135.5534274,129.8928222,0,0,0
34.74502443,135.5561583,122.5377799,0,0,0
34.74503436,135.5588893,97.82120426,0,0,0
34.74250324,135.4879001,263.9709137,74.8894288,1842.217089,2196.685761
34.74251466,135.4906309,264.5798431,110.4345964,2301.495189,1947.497296
34.74252601,135.4933617,264.5798431,155.0202021,2798.770869,2782.373596
34.74253731,135.4960925,273.0841952,377.1197779,6808.608389,0
34.74254854,135.4988234,270.827301,569.2773303,0,0
34.74255972,135.5015542,305.8542986,0,0,0
34.74257084,135.504285,518.9835384,0,0,0
34.7425819,135.5070158,0,0,0,0
34.7425929,135.5097466,386.17967,0,0,0
34.74260384,135.5124775,350.7503425,0,0,0
34.74261474,135.5152083,0,0,0,0
34.74262558,135.517939,0,0,0,0
34.74263636,135.5206698,335.3665555,0,0,0
34.74264708,135.5234006,322.6311167,0,0,0
34.74265773,135.5261314,351.2874793,0,0,0
34.74266831,135.5288622,320.3781061,0,0,0
34.74267883,135.531593,202.2845891,0,0,0
34.74268929,135.5343239,232.1768461,0,0,0
34.74269969,135.5370547,224.6725994,0,0,0
34.74271003,135.5397855,184.9925193,0,0,0
34.74272031,135.5425163,143.3692025,0,0,0
34.74273052,135.5452471,140.214379,0,0,0
34.74274068,135.5479779,135.5737139,0,0,0
34.74275078,135.5507088,132.2899216,0,0,0
34.74276083,135.5534396,130.856089,0,0,0
